plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Women Bottoms,Women,Bottoms,Ecommerce,2026,Jun,5,true,28274.72,29598.56,4519.63,2196.41,27541.34,3575.86,3743.08,63742.9,89360.37,62791.23,5394.54,113.1
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Aug,7,true,28240.92,27532.96,604.43,397.17,28978.63,595.81,494.77,28922.12,58422.59,29557.63,0,28.24
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2024,Mar,2,true,28207.28,28110.01,2719.3,12057.36,27416.62,2917.43,2859.44,60451.2,61372.5,61920.55,31926.64,253.87
Girls Sets,Girls,Sets,Wholesale,2026,Dec,11,false,28150.56,27211.11,591.23,7275.39,,538.58,,,40962.98,23477.03,11231.34,28.15
Women Tops,Women,Tops,Retail Stores,2026,Nov,10,false,28126.01,29353.95,3329.6,21655.5,,2655.66,,,59312.79,83354.49,55076.51,253.13
Women Tops,Women,Tops,Ecommerce,2026,Jan,12,false,28078.79,28253.17,4160.46,0,,4352.64,,,161495.16,128951.41,0,112.32
Boys Swim,Boys,Swim,Ecommerce,2024,Aug,7,true,28050.79,27381.63,3280.53,10687.86,31831.32,4054.79,3828.84,72852.35,74779.04,76768.62,34207.37,112.2
Girls Sets,Girls,Sets,Wholesale,2026,Apr,3,true,28044.78,28118.15,593.77,6073.28,22506.82,478.38,537.46,32987.86,49647.34,28013.38,6917.25,28.04
Girls Sleepwear,Girls,Sleepwear,Wholesale,2025,Jan,12,true,28013.79,28248.82,559.22,18248.45,28415,523.19,452.23,30088.13,21062.96,29634.77,37136.81,28.01
Boys Sets,Boys,Sets,Ecommerce,2025,Mar,2,true,27961.11,28199.97,3878.65,16806.8,30121.83,4273.16,5445.76,59347.23,61089.29,63898.99,35155.81,111.84
Baby Accessories,Baby,Accessories,Ecommerce,2026,Aug,7,false,27952.04,29006.59,4379.41,14734.47,,3414.42,,,78918.86,84238.52,36797.93,111.81
Baby Rompers,Baby,Rompers,Retail Stores,2025,Feb,1,true,27893.77,26845.59,3117.31,5643.99,24271.25,3064.04,3606.76,79278.93,88773.63,76264.13,18699.36,251.04
Baby Sets,Baby,Sets,Ecommerce,2026,Aug,7,false,27847.2,27625.33,3901.74,12901.28,,4081.2,,,77044.55,76277.06,31272.3,111.39
Boys Bottoms,Boys,Bottoms,Retail Stores,2024,May,4,true,27843.66,26978.54,2592.81,7165.67,28995.17,2509.98,2895.72,75194.77,81706.94,76170.94,25068.24,250.59
Baby Rompers,Baby,Rompers,Wholesale,2024,Sep,8,true,27817.7,27532.96,523.71,15199.92,28283.8,563.42,424.37,20420.02,18138.83,23087.25,33357.36,27.82
Baby Sets,Baby,Sets,Ecommerce,2024,Apr,3,true,27808.56,27537.21,3738.47,19756.44,25540.66,3488.76,3884.3,79015.7,59256.08,77643.95,49796.44,111.23
Girls Swim,Girls,Swim,Wholesale,2025,Jul,6,true,27800.65,27287.98,534.4,17906.88,31276.55,628.79,601.3,23305.2,20760.35,26880.56,34577.46,27.8
Girls Sleepwear,Girls,Sleepwear,Wholesale,2025,Dec,11,true,27788.7,26903.64,508.86,4830.12,26105.4,634.37,496.9,21823.52,36584.3,21062.96,12929.52,27.79
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2025,Sep,8,true,27745.11,28719.95,2689.88,6773.38,25142.64,2984.38,2322.3,71612.92,79045.44,67596.22,19529.97,249.71
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2025,Aug,7,true,27737.08,26603.74,2617.72,12151.05,30609.01,3298.8,3494.81,76214.61,78386.59,79045.44,31944.37,249.63
Baby Sets,Baby,Sets,Ecommerce,2025,Mar,2,true,27725.03,28199.97,4198.5,14117.66,29226.29,4096.45,5420.57,55620.49,57733.89,63494.46,37692.96,110.9
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2024,Jun,5,true,27713.51,26253.69,2652.65,3398.29,31251.61,2626.6,2941.44,58328.77,84525.01,62710.93,8775.46,249.42
Women Dresses,Women,Dresses,Ecommerce,2025,Aug,7,true,27690.24,27870.59,3244.08,10472.54,33410.28,3201.52,3363.06,71413.21,78815.99,78339.47,30526,110.76
Baby Accessories,Baby,Accessories,Ecommerce,2025,Jun,5,true,27684.45,27654.59,3865.99,2022.69,26166.67,3424.82,2975.1,63722.11,87494.05,61799.46,5525.42,110.74
Women Tops,Women,Tops,Retail Stores,2025,Dec,11,true,27603.96,26949.25,2685.89,8934.46,27386.09,3213.83,2825.62,63590.26,72629.11,64054.23,22491.35,248.44
Women Tops,Women,Tops,Ecommerce,2024,Jul,6,true,27601.42,28003.94,3936.14,10378.97,24401.95,3585.85,4618.66,78945.93,79377.16,79267.44,31187.96,110.41
Baby Accessories,Baby,Accessories,Ecommerce,2025,Sep,8,true,27592.99,26537.23,3442.55,8563.67,25431.61,3688.81,3531.3,66883.97,69382.86,66020.39,28029.69,110.37
Women Dresses,Women,Dresses,Ecommerce,2024,Oct,9,true,27540.32,27781.69,3743.16,17270.66,25533.16,3785.09,5171.57,73035.44,65362.49,76567.76,42640.84,110.16
Girls Tops,Girls,Tops,Wholesale,2024,May,4,true,27539.15,27813.91,578.99,11827.3,28108.81,548.97,515.39,29470.65,33301.03,28366.6,23181.22,27.54
Boys Sets,Boys,Sets,Ecommerce,2024,Apr,3,true,27525.09,27537.21,3673.83,18019.83,26302.72,4079.07,5131.07,75137.53,55821.83,78284.51,54176.94,110.1
Women Bottoms,Women,Bottoms,Ecommerce,2025,May,4,true,27512.29,27617.22,4029.51,6713.74,27046.05,3709.92,4291.21,74644.68,90373.25,76844.54,17803.56,110.05
Women Dresses,Women,Dresses,Ecommerce,2024,Jun,5,true,27478.04,27503.87,3736.73,2826.93,26104.2,4018.09,4866.77,62865.41,89397.32,62806.03,5014.74,109.91
Baby Sets,Baby,Sets,Ecommerce,2025,Jun,5,true,27447.64,26337.7,3233.42,3795.38,28727.84,3606.77,3860.25,58236.5,88758.89,60108.42,2513.73,109.79
Women Sleepwear,Women,Sleepwear,Ecommerce,2025,Nov,10,true,27399.31,27363.85,3986.22,22143.66,25845.12,3752.48,4290.53,74665.81,56002.92,74338.08,49596.55,109.6
Girls Sets,Girls,Sets,Wholesale,2025,Aug,7,true,27388.42,26903.64,546.78,803.69,26522.73,555.63,571.19,28146.66,54786.64,27298.82,483.62,27.39
Boys Tops,Boys,Tops,Wholesale,2026,Aug,7,false,27382.88,27435.07,623.18,0,,495.22,,,55477.97,27572.49,0,27.38
Girls Swim,Girls,Swim,Retail Stores,2025,Apr,3,true,27380.51,27519.33,2740.5,18615.09,28168.96,2695.97,2940.17,84323.55,58316.52,83112.11,55118.49,246.42
Boys Bottoms,Boys,Bottoms,Retail Stores,2026,Jul,6,true,27361.88,27967.79,2982.35,14754.19,29649.19,2677.76,2752.97,73243.1,76025.3,76804.36,31064.95,246.26
Boys Swim,Boys,Swim,Ecommerce,2025,Feb,1,true,27243.41,26249.03,3495.56,5993.04,29565.12,3884.72,4256.99,73145.22,82468.83,75383.13,24151.4,108.97
Girls Swim,Girls,Swim,Retail Stores,2026,Jun,5,true,27229.5,27244.13,3211.18,4503.72,26127.75,2668.22,2665.97,59946.25,84929.47,58906.48,4119.79,245.07
Girls Swim,Girls,Swim,Retail Stores,2026,Oct,9,false,27202.59,27519.33,2888.5,18068.03,,2911.59,,,62056.95,78520.42,46822.47,244.82
Women Bottoms,Women,Bottoms,Ecommerce,2026,Sep,8,false,27195.47,28402.66,3357.1,8082.61,,3662.87,,,73106.86,63100.14,20960.39,108.78
Boys Bottoms,Boys,Bottoms,Retail Stores,2025,Jun,5,true,27169.91,27933.93,3130.86,3731.38,26430.32,2874.65,2902.97,60258.24,83982.26,60446.29,6753.12,244.53
Girls Bottoms,Girls,Bottoms,Wholesale,2026,May,4,true,27166.97,24943.52,430.97,12403.77,29452.45,562.6,524.8,22390.05,31416.79,26527.61,22867.56,27.17
Women Dresses,Women,Dresses,Ecommerce,2024,Sep,8,true,27163.51,26392.6,3131.1,8308.89,29151.11,3760.87,3733.91,60168.67,73301.26,65362.49,23094.26,108.65
Baby Accessories,Baby,Accessories,Ecommerce,2024,May,4,true,27151.74,26708.76,3697.51,7785.44,25575.19,3867.86,4636.49,80482.74,81750.41,78189.63,27567.42,108.61
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Aug,7,true,27122.04,26903.64,547.28,1728.82,27940.26,587.15,563.05,26812.69,53695.74,27568.98,1609.55,27.12
Women Dresses,Women,Dresses,Ecommerce,2026,Feb,1,true,27011.79,27655.22,4166.31,5466.47,23263.82,3574.91,3189.79,81943.1,92855.35,77358.47,15197.86,108.05
Girls Outerwear,Girls,Outerwear,Ecommerce,2025,Dec,11,true,27004.51,26679.75,4017.13,6469.42,29386.51,3788.35,4487.98,61207.34,75513.16,65358.17,20745.89,108.02
Girls Outerwear,Girls,Outerwear,Ecommerce,2026,Nov,10,false,26979.89,29060.41,4174.78,19303.19,,3219.34,,,52956.09,81722.99,59074.05,107.92
Boys Sets,Boys,Sets,Ecommerce,2025,Oct,9,true,26971.88,26603.74,3346.69,17196.99,26843.69,3874.3,3978.36,75057.24,60224.43,75369.49,46099.13,107.89
Baby Sleepwear,Baby,Sleepwear,Wholesale,2025,Sep,8,true,26947.83,26156.32,589.99,15848.83,24250.65,588.43,474.24,23046.41,19208.87,21731.94,30086.28,26.95
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2026,Jul,6,true,26947.05,29965.49,2904.46,16308.71,23308.82,2639.83,2432.85,81893.55,79120.4,78443.14,29152.14,242.52
Women Bottoms,Women,Bottoms,Ecommerce,2025,Mar,2,true,26866.63,26857.11,3828.21,14150.39,25472.5,3274.56,3865.58,60305.25,54133.23,60500.68,36616.11,107.47
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2024,Oct,9,true,26825.21,26518.88,2572.39,18372.21,24295.82,2703.67,2631.02,85755.21,61552.29,80998.55,49216.57,241.43
Baby Accessories,Baby,Accessories,Ecommerce,2026,Jul,6,true,26809.03,27688.11,4038.04,11920.28,28103.5,3308.86,4092.86,72926.63,69520.06,78918.86,39623.93,107.24
Boys Sets,Boys,Sets,Ecommerce,2025,Jun,5,true,26792.33,26337.7,3898.96,1979.93,28948.42,4029.87,4904.03,54862.74,86277.21,58019.09,2671.25,107.17
Baby Rompers,Baby,Rompers,Retail Stores,2026,Jan,12,false,26786.65,26968.94,2709.46,0,,3030.59,,,147381.22,117322.9,0,241.08
Boys Bottoms,Boys,Bottoms,Retail Stores,2025,Sep,8,true,26774.62,26805.29,3015.1,6446.25,25493.78,2563.3,2160.8,65245.82,68670.58,61825.04,22733.34,240.97
Women Bottoms,Women,Bottoms,Ecommerce,2024,Apr,3,true,26712.08,26225.91,3322.27,18259.58,24636.14,4056.37,4866.22,74969.5,58779.89,75515.98,47611.38,106.85
Boys Bottoms,Boys,Bottoms,Wholesale,2024,Jun,5,true,26654.58,27532.96,534.22,19834.83,25051.93,474.63,619.95,20785.18,11784.36,22096.67,37468.17,26.65
Girls Swim,Girls,Swim,Wholesale,2024,Feb,1,true,26544.84,26128.22,572.47,14564.91,29243.43,607.61,805.49,23148.3,28556.07,27503.54,26126.45,26.54
Baby Rompers,Baby,Rompers,Retail Stores,2024,Jul,6,true,26432.79,26731.03,3195.73,13759.15,29974.29,2952.74,3893.27,73878.13,77166.43,75794.8,28251.8,237.9
Baby Sets,Baby,Sets,Ecommerce,2026,Jul,6,true,26429.55,26369.63,3550.46,12689.28,29231.23,3909.91,3098.24,72402.29,72093.05,77044.55,35396.67,105.72
Women Dresses,Women,Dresses,Ecommerce,2025,Jul,6,true,26375.68,26603.74,3964.09,14110.09,26999.45,3317.44,3156.94,76759.4,68331.07,78815.99,40283.54,105.5
Girls Swim,Girls,Swim,Wholesale,2025,Oct,9,true,26369.92,26519.3,469.79,20326.25,26310.27,533.05,678.07,20096.99,15984.9,25635.54,36579.98,26.37
Women Dresses,Women,Dresses,Retail Stores,2026,Dec,11,false,26351.3,26500.09,2693.59,7675.7,,2565.67,,,67005.22,60256.86,22405.76,237.16
Girls Swim,Girls,Swim,Wholesale,2025,Jun,5,true,26273.53,25942.79,504.37,19446.08,26107.33,521.42,503.52,15848.06,10442.9,20760.35,37138.67,26.27
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2026,Apr,3,true,26212.48,24695.37,3509.49,16529.61,26037.65,3863.28,4038.72,73699.7,56143.94,73050.09,47086.76,104.85
Baby Sets,Baby,Sets,Ecommerce,2025,Oct,9,true,26197.7,26603.74,3082.6,17187.53,24552.16,4009.17,4192.37,72584.75,57996.9,74277.13,46591.9,104.79
Boys Tops,Boys,Tops,Retail Stores,2024,Feb,1,true,26197.51,26165.3,2577.77,9997.22,24524.68,3035.6,3698.56,74760.5,78199.92,76107.22,27376.19,235.78
Baby Accessories,Baby,Accessories,Ecommerce,2024,Mar,2,true,26095,25973.65,3374.84,14512.95,24064.28,4045.5,3909.74,56798.17,54423.33,57135.09,32956.64,104.38
Baby Sets,Baby,Sets,Ecommerce,2025,Sep,8,true,26023.77,25273.55,3069.89,7685.92,29227.03,3734.93,5098.78,56548.38,69329.41,57996.9,18530.27,104.1
Boys Bottoms,Boys,Bottoms,Wholesale,2024,Mar,2,true,26011.83,26513.22,561.39,8072.3,27906.77,486.12,663.41,19848.68,31482.21,21582.65,16624.4,26.01
Baby Rompers,Baby,Rompers,Wholesale,2025,Nov,10,true,25968.09,25408.99,506.51,4627.7,23268.47,518.98,573.16,26103.53,41382.4,24737.77,9868.4,25.97
Boys Swim,Boys,Swim,Wholesale,2026,Feb,1,true,25928.48,24299.63,445.85,21517.22,31877.16,511.4,455.57,15970.36,8257.33,25451.25,43659.72,25.93
Boys Swim,Boys,Swim,Ecommerce,2024,Jul,6,true,25906.33,26137.01,3459.92,12088.95,29976.71,3741.92,2890.1,72415.94,67683.43,74779.04,36847.48,103.63
Girls Sets,Girls,Sets,Wholesale,2026,May,4,true,25881.54,24943.52,480.54,11114.44,28030.72,468.45,580.25,23007.81,28013.38,25591.45,23953.93,25.88
Women Sleepwear,Women,Sleepwear,Ecommerce,2026,Apr,3,true,25846.77,26459.32,4056.5,18698.85,25224.78,3235.34,3724.88,73630.17,52144.36,76419.88,53461.01,103.39
Boys Tops,Boys,Tops,Retail Stores,2025,Jan,12,true,25830.6,25394.48,2363.35,0,23582.36,2493.78,2840.36,117819.37,144450.79,115893.94,0,232.48
Women Tops,Women,Tops,Wholesale,2026,Feb,1,true,25815.03,26035.32,525.23,23143.55,26384.8,507.22,475.01,26523.18,8396.72,27161.74,45113.09,25.82
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2025,Jul,6,true,25792.21,25394.48,2436.62,13021.14,21775.48,2917.1,3673.97,80337.66,71676.91,78386.59,35651.11,232.13
Boys Sets,Boys,Sets,Ecommerce,2024,May,4,true,25776.27,25436.91,3744.48,8957.51,23862.21,3175.17,3622.03,74829.91,78284.51,73207.94,23977.97,103.11
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2024,Sep,8,true,25737.27,25192.94,2806.01,5191.52,24508.96,2609.71,3725.65,61051.3,62668.54,61552.29,27462.36,231.64
Women Bottoms,Women,Bottoms,Ecommerce,2025,Oct,9,true,25731.27,25336.9,3386.07,17135.68,24005.54,3236.74,3152.21,72527.71,59301.24,72541.6,42311.3,102.93
Girls Sleepwear,Girls,Sleepwear,Wholesale,2025,May,4,true,25727.85,24661.67,511.83,10384.73,28145.81,537.61,533.03,20318.3,29563.69,25369.5,22096.99,25.73
Girls Swim,Girls,Swim,Retail Stores,2026,Sep,8,false,25721.27,26143.36,2996.52,6769.41,,3006.21,,,73066.57,62056.95,17949.35,231.49
Boys Bottoms,Boys,Bottoms,Retail Stores,2024,Mar,2,true,25688.2,26236.01,2866.59,12965.67,21670.63,2511.82,3443.56,57236.46,53101.23,57441.55,32771.54,231.19
Girls Sets,Girls,Sets,Retail Stores,2024,Jan,12,true,25624.93,25776.35,2376.57,0,27256.27,2910.39,2270.04,122524.08,152284.48,123518.53,0,230.62
Baby Sets,Baby,Sets,Ecommerce,2024,May,4,true,25604.03,25436.91,3460.15,9935.9,23922.32,3882.9,4345.02,77356.42,77643.95,76970.51,28915.9,102.42
Women Sleepwear,Women,Sleepwear,Ecommerce,2024,Dec,11,true,25571.41,26003.66,3316.06,7188.18,27259.89,3713.33,4583.12,52991.97,68360.47,56319.06,17345.63,102.29
Women Bottoms,Women,Bottoms,Ecommerce,2025,Jun,5,true,25407.79,25083.53,2894.69,2214.65,25943.96,3608.74,3674.12,61786.43,76844.54,61723.46,13997.09,101.63
Baby Sets,Baby,Sets,Ecommerce,2024,Mar,2,true,25401.28,24736.81,3594.18,12434.44,23023.12,3148.42,2656.95,67226.46,51724.19,59256.08,36183.19,101.61
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,Jan,12,true,25330.45,25776.35,3073.69,0,28378.27,2508.65,2521.21,116971.12,148112.63,120045.56,0,227.97
Boys Tops,Boys,Tops,Wholesale,2024,Nov,10,true,25320.35,24765.1,564.2,5580.68,23156.65,431.04,561.13,28080.97,40562,26634.97,11849.68,25.32
Girls Swim,Girls,Swim,Retail Stores,2025,May,4,true,25295.58,25420.39,2645.67,8912.99,28103.99,3050.43,3515.16,70234.34,83112.11,72222.44,17683.99,227.66
Girls Swim,Girls,Swim,Wholesale,2025,Mar,2,true,25263.95,24981.95,440.82,8375.68,22466.54,494.26,488.35,22602.8,33136.7,19470.45,12117.22,25.26
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Jan,12,true,25258.48,24213.27,553.41,15524.66,23784.27,444.76,309.6,28434.02,17464.9,26519.91,34783.51,25.26
Boys Bottoms,Boys,Bottoms,Retail Stores,2024,Jun,5,true,25248.9,24503.45,2502.9,2491.76,24529.36,2374.92,2137.63,60764.99,76170.94,59849.36,11529.48,227.24
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2025,Nov,10,true,25230.61,25539.59,3139.43,18212,27157.73,3439.56,2785.82,68504.79,52989.02,68349.05,44131.12,100.92
Boys Bottoms,Boys,Bottoms,Wholesale,2025,Sep,8,true,25213.32,24412.56,458.13,13950.36,23974.72,524.07,559.9,21115.46,16850.6,19945.27,28857.26,25.21
Boys Bottoms,Boys,Bottoms,Retail Stores,2025,Aug,7,true,25207.91,24830.16,2909.92,13333.54,22067.27,2576.87,2614.15,71460.78,64168.07,68670.58,32514.16,226.87
Women Bottoms,Women,Bottoms,Ecommerce,2026,Aug,7,false,25169.96,26309.83,3870.66,12044.17,,3746.73,,,69143.69,73106.86,32980.54,100.68
Women Sleepwear,Women,Sleepwear,Ecommerce,2024,Nov,10,true,25155.67,24003.38,3030.01,18388.22,23724.88,3684.61,5228.56,61007.07,49819.05,68360.47,47482.31,100.62
Girls Outerwear,Girls,Outerwear,Ecommerce,2025,Nov,10,true,25100.61,24627.46,3068.88,19312.35,22965.24,3313.11,4614.76,75903.55,50392.68,75513.16,53634.61,100.4
Women Dresses,Women,Dresses,Ecommerce,2024,Aug,7,true,25084.57,24447.88,2891.03,10127.72,20361.11,3813.54,4671.59,80097.22,70513.88,73301.26,31785.83,100.34
Boys Swim,Boys,Swim,Retail Stores,2025,Dec,11,true,25050.95,25152.63,2501.8,5980.06,22814.49,2922.64,3367.76,55865.9,66406.21,55300.7,17093.54,225.46
Boys Bottoms,Boys,Bottoms,Retail Stores,2024,Oct,9,true,24997.36,24750.96,2249.7,17822.68,23341.46,2299.25,2205.52,66933.93,53156.63,68925.95,43290.91,224.98
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2026,Feb,1,true,24985.66,26398.17,3186.52,7517.08,24979.27,2666.72,3166.68,71295.59,86806.22,72620.78,13691.81,224.87
Boys Sets,Boys,Sets,Ecommerce,2025,Sep,8,true,24970.41,25273.55,3491.86,7589.96,25218.06,3010.57,3670.36,57812.4,67806.16,60224.43,20499.13,99.88
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Jan,12,true,24969.82,24779.67,527.53,16229.5,29146.22,561.23,704.1,22994.73,19895.67,24830.5,30490.85,24.97
Women Tops,Women,Tops,Ecommerce,2024,Feb,1,true,24951.77,24670.14,3415.75,10002.39,27553.39,3264.59,3742.27,65526.12,72254.52,68882.45,24944.1,99.81
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Apr,3,true,24944.59,24386.34,421.48,3229.07,28392.58,517.89,523.26,20075.61,41352.31,23835.16,7970.28,24.94
Girls Sets,Girls,Sets,Wholesale,2025,Jan,12,true,24937.37,24213.27,412.81,16388.89,26034.04,530.18,582.51,21093.99,19354.21,25845.18,31983.45,24.94
Women Bottoms,Women,Bottoms,Ecommerce,2025,Sep,8,true,24832.65,24070.05,3002.97,7691.98,19960.74,3089.43,3023.77,62674.56,62075.3,59301.24,25247.35,99.33
Women Sleepwear,Women,Sleepwear,Ecommerce,2026,May,4,true,24770.42,24441.24,3750.11,7026.98,25302.66,3795.15,4652.39,71434.29,76419.88,73546.22,25790.99,99.08
Boys Sets,Boys,Sets,Ecommerce,2026,Feb,1,true,24689.57,23230.39,3006.48,6710.92,24518.32,3782.97,4530.8,73050.29,77858.57,72518.93,23231.66,98.76
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2026,May,4,true,24672.71,22811.82,2860.29,6507,22488.33,3249.19,3640.41,73135.02,73050.09,69527.74,24498.25,98.69
Boys Bottoms,Boys,Bottoms,Retail Stores,2026,Feb,1,true,24646.3,24638.29,2588.82,4986.41,26640.46,2598.17,2594.23,71922.94,82456.11,74060.97,19071.14,221.82
Women Tops,Women,Tops,Retail Stores,2025,Nov,10,true,24629.08,24876.23,2960.87,15890.98,25587.1,2930.45,3222.1,65883.66,49911.96,72629.11,50498.35,221.66
Women Tops,Women,Tops,Ecommerce,2025,Jan,12,true,24612.51,23943.37,3512.13,0,24610.01,3278.43,3864.4,115408.5,143967.73,115978.33,0,98.45
Girls Swim,Girls,Swim,Retail Stores,2025,Mar,2,true,24599.58,24720.75,2513.86,13565.01,20904.21,2626.74,2595.93,60121.38,48290.55,58316.52,37473.7,221.4
Boys Tops,Boys,Tops,Wholesale,2026,Jan,12,false,24560.01,24691.56,557.2,16241.93,,469.03,,,18620.12,25001.74,31435.23,24.56
Boys Tops,Boys,Tops,Wholesale,2026,Apr,3,true,24504.65,24299.63,503.98,4722.27,23402.57,417.95,496.08,26619.58,42096.98,25462.77,8312.9,24.5
Boys Sets,Boys,Sets,Ecommerce,2025,Aug,7,true,24472.31,23411.29,3490.39,12208.96,22722.41,3014.36,3873.86,69050.11,66943.42,67806.16,28447.3,97.89
Boys Sets,Boys,Sets,Ecommerce,2024,Mar,2,true,24464.54,24736.81,3327.51,13667.41,23259.99,3249.94,3345.04,53350.81,50341.65,55821.83,33292.52,97.86
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2024,Dec,11,true,24409.56,24270.08,3131.32,6347.09,24513.71,3658.94,4392.65,51364.72,67568.02,52987.69,13585.81,97.64
Women Bottoms,Women,Bottoms,Ecommerce,2024,May,4,true,24384.34,24225.63,3148.09,8042.43,22564.83,3724.98,4650.96,69820.36,75515.98,68535.41,21226.29,97.54
Girls Swim,Girls,Swim,Retail Stores,2026,Aug,7,false,24352.28,24217.01,2386.64,12573.42,,2359.88,,,70743.11,73066.57,29254.79,219.17
Baby Rompers,Baby,Rompers,Wholesale,2026,Aug,7,false,24346.46,24691.56,551.02,456.46,,551.91,,,48135.19,25413.93,2201.47,24.35
Baby Accessories,Baby,Accessories,Ecommerce,2025,Aug,7,true,24311.61,24581.86,3645.5,10772.89,25922.16,3486.53,3103.93,65080.81,63664.53,69382.86,33613.73,97.25
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Dec,11,true,24295.83,23599.68,461.61,5132.06,21599.18,530.08,604.55,23312.81,32488.28,19895.67,12257.6,24.3
Women Bottoms,Women,Bottoms,Ecommerce,2024,Mar,2,true,24255.32,23558.87,3260.9,12975.82,24722.57,3349.89,2699.28,61274.7,44945.08,58779.89,41537.05,97.02
Girls Swim,Girls,Swim,Retail Stores,2025,Oct,9,true,24239.76,23321.46,2579.27,14836.36,24472.09,2551.22,3624.01,69212.8,52240.88,72698.79,47467.05,218.16
Women Bottoms,Women,Bottoms,Ecommerce,2026,Jul,6,true,24227.78,25113.93,3684.45,14237.26,27485.19,3705.93,3712.57,65991.81,62791.23,69143.69,34383.08,96.91
Baby Sets,Baby,Sets,Ecommerce,2024,Jun,5,true,24165.96,23103.25,3403.93,1510.67,21869.27,3319.32,4344.32,53602.9,76970.51,52331.52,2942.96,96.66
Girls Sets,Girls,Sets,Wholesale,2025,Apr,3,true,24151.71,23828.94,541.12,5281.55,26181.12,481.95,598.93,21611.76,38973.19,23589.35,9273.97,24.15
Boys Sets,Boys,Sets,Ecommerce,2024,Oct,9,true,24124.61,23336.62,3272.78,16079.3,27463.38,3229.88,2867.45,73364.24,52924.53,73338.3,47864.76,96.5
Baby Accessories,Baby,Accessories,Ecommerce,2024,Oct,9,true,24059.32,24503.45,3578.46,15338.03,23788.51,3604.72,4189.05,68986.64,52267.54,69173.39,44666.13,96.24
Boys Swim,Boys,Swim,Retail Stores,2026,Apr,3,true,24056.83,22450.33,2558.84,17957.33,23194.96,2409.9,2237.67,68612.2,50913.35,65593.04,41362.94,216.51
Boys Tops,Boys,Tops,Wholesale,2025,Aug,7,true,24033.15,23250.06,523.65,0,18898.74,448.69,472.48,28794.3,48189.25,23683.37,0,24.03
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Apr,3,true,24027.53,23828.94,470.16,5473.74,23442,526.56,519.87,23389.97,38556.56,22611.05,8632.61,24.03
Women Dresses,Women,Dresses,Retail Stores,2026,Nov,10,false,23976.91,24461.62,2396.78,16590.1,,2294.68,,,47306.86,67005.22,46185.75,215.79
Girls Swim,Girls,Swim,Wholesale,2024,Jul,6,true,23903.82,23936.82,414.08,16121.03,24335.39,484.68,384.91,24689.79,19519.66,24990.84,29883.59,23.9
Girls Swim,Girls,Swim,Wholesale,2026,Sep,8,false,23882.38,23809.72,512.78,13794.82,,498.54,,,15831.59,18469.42,27042.64,23.88
Baby Accessories,Baby,Accessories,Ecommerce,2026,Feb,1,true,23878.61,24391.91,3121.05,5001.47,24128.22,3158.65,2746.84,68815.44,82854.15,69644.69,13923.32,95.51
Women Dresses,Women,Dresses,Ecommerce,2024,Jul,6,true,23858.07,23336.62,3061.55,10184.8,22935.26,2882.32,3149.13,69095.77,62806.03,70513.88,34543.67,95.43
Boys Swim,Boys,Swim,Wholesale,2026,Jul,6,true,23853.14,22261.6,379.03,13575.42,23886.71,509.52,602.53,19860.19,18723.85,22973.08,28635.74,23.85
Boys Sets,Boys,Sets,Retail Stores,2026,Dec,11,false,23843,22260.08,2498.69,6034.46,,2665.99,,,63317.23,53141.23,16547.57,214.59
Baby Accessories,Baby,Accessories,Ecommerce,2024,Jun,5,true,23811.31,24258.41,3095.81,935.38,22335.22,3479.55,3604.37,58985.95,78189.63,57552.6,6749.08,95.25
