style_month.style_key,style_month.style_name,style_month.print_name,style_month.division,style_month.department,style_month.dept_key,style_month.class_name,style_month.season,style_month.lifecycle,style_month.channel,style_month.fiscal_year,style_month.units_sold,style_month.sales_dollars,style_month.on_hand_units,style_month.on_order_units
ST-0020,Acorn Toile Legging,Acorn Toile,Girls,Bottoms,Girls Bottoms,Legging,Fall,New,Retail Stores,2025,614,29698.53,1012,526
ST-0090,Palm Frond Blouse,Palm Frond,Women,Tops,Women Tops,Blouse,Summer,New,Retail Stores,2026,385,29673.12,699,405
ST-0046,Lemon Grove Polo,Lemon Grove,Boys,Tops,Boys Tops,Polo,Summer,New,Wholesale,2026,663,29591.54,1068,277
ST-0031,Strawberry Fields PJ Set,Strawberry Fields,Girls,Sleepwear,Girls Sleepwear,PJ Set,Summer,Carryover,Wholesale,2026,821,29550.09,952,401
ST-0050,Palm Frond Short,Palm Frond,Boys,Bottoms,Boys Bottoms,Short,Summer,New,Retail Stores,2026,606,29480.34,835,346
ST-0072,Strawberry Fields Two-Piece Set,Strawberry Fields,Baby,Sets,Baby Sets,Two-Piece Set,Summer,New,Wholesale,2025,815,29334.13,1102,421
ST-0040,Candy Cane Stripe Button-Down,Candy Cane Stripe,Boys,Tops,Boys Tops,Button-Down,Holiday,New,Ecommerce,2025,598,29322.21,891,755
ST-0020,Acorn Toile Legging,Acorn Toile,Girls,Bottoms,Girls Bottoms,Legging,Fall,New,Wholesale,2026,813,29262.15,853,343
ST-0039,Seashell Button-Down,Seashell,Boys,Tops,Boys Tops,Button-Down,Summer,New,Wholesale,2025,749,29115.72,1397,894
ST-0059,Hydrangea Swim Trunk,Hydrangea,Boys,Swim,Boys Swim,Swim Trunk,Spring,New,Retail Stores,2026,554,28967.93,628,271
ST-0028,Tulip Garden One-Piece,Tulip Garden,Girls,Swim,Girls Swim,One-Piece,Spring,New,Retail Stores,2025,546,28878.48,861,604
ST-0032,Pomegranate PJ Set,Pomegranate,Girls,Sleepwear,Girls Sleepwear,PJ Set,Fall,New,Retail Stores,2025,584,28869.47,917,504
ST-0070,Winter Fair Isle Coverall,Winter Fair Isle,Baby,Rompers,Baby Rompers,Coverall,Holiday,New,Retail Stores,2025,610,28849.4,885,451
ST-0008,Seashell Blouse,Seashell,Girls,Tops,Girls Tops,Blouse,Summer,New,Wholesale,2026,667,28809.6,1013,426
ST-0030,Nantucket Stripe Rash Guard Set,Nantucket Stripe,Girls,Swim,Girls Swim,Rash Guard Set,Summer,New,Retail Stores,2025,568,28751.63,808,524
ST-0015,Winter Fair Isle Cardigan,Winter Fair Isle,Girls,Tops,Girls Tops,Cardigan,Holiday,Carryover,Wholesale,2026,768,28748.39,1565,825
ST-0097,Holiday Holly Short,Holiday Holly,Women,Bottoms,Women Bottoms,Short,Holiday,New,Retail Stores,2025,440,28686.52,635,305
ST-0070,Winter Fair Isle Coverall,Winter Fair Isle,Baby,Rompers,Baby Rompers,Coverall,Holiday,New,Retail Stores,2026,621,28478.23,893,299
ST-0097,Holiday Holly Short,Holiday Holly,Women,Bottoms,Women Bottoms,Short,Holiday,New,Wholesale,2025,562,28320.76,1119,553
ST-0051,Autumn Gingham Short,Autumn Gingham,Boys,Bottoms,Boys Bottoms,Short,Fall,New,Wholesale,2025,931,28146.74,1189,466
ST-0055,Candy Cane Stripe Pant,Candy Cane Stripe,Boys,Bottoms,Boys Bottoms,Pant,Holiday,Carryover,Wholesale,2025,848,28079.65,1095,185
ST-0014,Acorn Toile Cardigan,Acorn Toile,Girls,Tops,Girls Tops,Cardigan,Fall,New,Wholesale,2026,629,28074.03,1023,194
ST-0035,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Girls Sleepwear,Nightgown,Summer,New,Retail Stores,2026,538,27978.09,1034,613
ST-0034,Cherry Blossom Nightgown,Cherry Blossom,Girls,Sleepwear,Girls Sleepwear,Nightgown,Spring,New,Wholesale,2026,669,27932.62,1351,696
ST-0041,Hydrangea Tee,Hydrangea,Boys,Tops,Boys Tops,Tee,Spring,New,Wholesale,2026,665,27765.61,1058,288
ST-0021,Seashell Skirt,Seashell,Girls,Bottoms,Girls Bottoms,Skirt,Summer,New,Wholesale,2025,838,27748.53,1504,576
ST-0073,Seashell Footie,Seashell,Baby,Sleepwear,Baby Sleepwear,Footie,Summer,New,Ecommerce,2025,684,27711.41,1028,393
ST-0043,Pomegranate Tee,Pomegranate,Boys,Tops,Boys Tops,Tee,Fall,New,Wholesale,2025,767,27606.48,1321,808
ST-0055,Candy Cane Stripe Pant,Candy Cane Stripe,Boys,Bottoms,Boys Bottoms,Pant,Holiday,Carryover,Retail Stores,2026,610,27412.86,914,437
ST-0025,Hydrangea Romper,Hydrangea,Girls,Sets,Girls Sets,Romper,Spring,New,Ecommerce,2026,486,27402.76,459,323
ST-0037,Holiday Holly Nightgown,Holiday Holly,Girls,Sleepwear,Girls Sleepwear,Nightgown,Holiday,Carryover,Wholesale,2026,634,27384.23,1369,653
ST-0051,Autumn Gingham Short,Autumn Gingham,Boys,Bottoms,Boys Bottoms,Short,Fall,New,Wholesale,2026,905,27360.69,881,507
ST-0066,Seashell Bubble,Seashell,Baby,Rompers,Baby Rompers,Bubble,Summer,New,Wholesale,2026,826,27351.17,1406,547
ST-0032,Pomegranate PJ Set,Pomegranate,Girls,Sleepwear,Girls Sleepwear,PJ Set,Fall,New,Retail Stores,2026,541,27313.26,976,522
ST-0009,Acorn Toile Blouse,Acorn Toile,Girls,Tops,Girls Tops,Blouse,Fall,New,Retail Stores,2026,525,27281.01,641,279
ST-0041,Hydrangea Tee,Hydrangea,Boys,Tops,Boys Tops,Tee,Spring,New,Retail Stores,2025,499,27175.3,711,580
ST-0008,Seashell Blouse,Seashell,Girls,Tops,Girls Tops,Blouse,Summer,New,Retail Stores,2026,474,27139.67,786,431
ST-0034,Cherry Blossom Nightgown,Cherry Blossom,Girls,Sleepwear,Girls Sleepwear,Nightgown,Spring,New,Retail Stores,2025,510,27122.28,818,442
ST-0069,Autumn Gingham Coverall,Autumn Gingham,Baby,Rompers,Baby Rompers,Coverall,Fall,New,Retail Stores,2025,607,27089.98,942,529
ST-0010,Holiday Holly Blouse,Holiday Holly,Girls,Tops,Girls Tops,Blouse,Holiday,New,Retail Stores,2026,572,26995.82,847,491
ST-0094,Snowdrop Tunic,Snowdrop,Women,Tops,Women Tops,Tunic,Holiday,New,Retail Stores,2026,341,26972.87,489,352
ST-0039,Seashell Button-Down,Seashell,Boys,Tops,Boys Tops,Button-Down,Summer,New,Retail Stores,2026,523,26959.16,775,469
ST-0052,Garden Trellis Pant,Garden Trellis,Boys,Bottoms,Boys Bottoms,Pant,Spring,New,Retail Stores,2026,590,26923.74,1021,476
ST-0092,Winter Fair Isle Blouse,Winter Fair Isle,Women,Tops,Women Tops,Blouse,Holiday,New,Retail Stores,2026,296,26832.68,375,224
ST-0079,Seashell Bonnet,Seashell,Baby,Accessories,Baby Accessories,Bonnet,Summer,Carryover,Ecommerce,2025,1091,26771.84,2255,641
ST-0061,Garden Trellis Rash Guard Set,Garden Trellis,Boys,Swim,Boys Swim,Rash Guard Set,Spring,New,Retail Stores,2025,460,26768.67,603,162
ST-0032,Pomegranate PJ Set,Pomegranate,Girls,Sleepwear,Girls Sleepwear,PJ Set,Fall,New,Wholesale,2025,714,26727.01,1208,626
ST-0009,Acorn Toile Blouse,Acorn Toile,Girls,Tops,Girls Tops,Blouse,Fall,New,Wholesale,2025,686,26666.74,1063,228
ST-0040,Candy Cane Stripe Button-Down,Candy Cane Stripe,Boys,Tops,Boys Tops,Button-Down,Holiday,New,Wholesale,2025,684,26588.99,1031,382
ST-0036,Autumn Gingham Nightgown,Autumn Gingham,Girls,Sleepwear,Girls Sleepwear,Nightgown,Fall,New,Retail Stores,2026,608,26557.51,1045,115
ST-0095,Tulip Garden Short,Tulip Garden,Women,Bottoms,Women Bottoms,Short,Spring,New,Ecommerce,2026,402,26556.86,705,75
ST-0011,Lemon Grove Tee,Lemon Grove,Girls,Tops,Girls Tops,Tee,Summer,New,Retail Stores,2026,530,26487.8,808,224
ST-0007,Cherry Blossom Blouse,Cherry Blossom,Girls,Tops,Girls Tops,Blouse,Spring,Carryover,Wholesale,2026,611,26390.81,756,252
ST-0030,Nantucket Stripe Rash Guard Set,Nantucket Stripe,Girls,Swim,Girls Swim,Rash Guard Set,Summer,New,Wholesale,2025,703,26315.26,779,413
ST-0031,Strawberry Fields PJ Set,Strawberry Fields,Girls,Sleepwear,Girls Sleepwear,PJ Set,Summer,Carryover,Retail Stores,2025,560,26304.69,903,434
ST-0021,Seashell Skirt,Seashell,Girls,Bottoms,Girls Bottoms,Skirt,Summer,New,Ecommerce,2026,616,26207.46,947,462
ST-0017,Seashell Short,Seashell,Girls,Bottoms,Girls Bottoms,Short,Summer,New,Wholesale,2025,827,26193.4,1509,1138
ST-0089,Tulip Garden Blouse,Tulip Garden,Women,Tops,Women Tops,Blouse,Spring,New,Wholesale,2025,422,26127.2,820,239
ST-0040,Candy Cane Stripe Button-Down,Candy Cane Stripe,Boys,Tops,Boys Tops,Button-Down,Holiday,New,Retail Stores,2026,530,26066.65,1038,448
ST-0068,Strawberry Fields Coverall,Strawberry Fields,Baby,Rompers,Baby Rompers,Coverall,Summer,New,Wholesale,2025,664,25811.53,1201,396
ST-0077,Pomegranate PJ Set,Pomegranate,Baby,Sleepwear,Baby Sleepwear,PJ Set,Fall,New,Wholesale,2025,779,25794.87,1198,636
ST-0010,Holiday Holly Blouse,Holiday Holly,Girls,Tops,Girls Tops,Blouse,Holiday,New,Ecommerce,2026,532,25755.76,921,429
ST-0039,Seashell Button-Down,Seashell,Boys,Tops,Boys Tops,Button-Down,Summer,New,Retail Stores,2025,502,25692.87,858,611
ST-0019,Garden Trellis Legging,Garden Trellis,Girls,Bottoms,Girls Bottoms,Legging,Spring,New,Wholesale,2026,811,25686.65,1164,638
ST-0024,Winter Fair Isle Two-Piece Set,Winter Fair Isle,Girls,Sets,Girls Sets,Two-Piece Set,Holiday,Carryover,Wholesale,2026,446,25686.39,531,162
ST-0051,Autumn Gingham Short,Autumn Gingham,Boys,Bottoms,Boys Bottoms,Short,Fall,New,Ecommerce,2025,682,25666.13,1389,735
ST-0046,Lemon Grove Polo,Lemon Grove,Boys,Tops,Boys Tops,Polo,Summer,New,Wholesale,2025,574,25619.23,718,166
ST-0067,Snowdrop Bubble,Snowdrop,Baby,Rompers,Baby Rompers,Bubble,Holiday,New,Wholesale,2025,658,25578.31,1084,570
ST-0044,Snowdrop Tee,Snowdrop,Boys,Tops,Boys Tops,Tee,Holiday,New,Retail Stores,2025,517,25425.95,898,398
ST-0063,Strawberry Fields PJ Set,Strawberry Fields,Boys,Sleepwear,Boys Sleepwear,PJ Set,Summer,New,Wholesale,2025,654,25422.81,1024,364
ST-0034,Cherry Blossom Nightgown,Cherry Blossom,Girls,Sleepwear,Girls Sleepwear,Nightgown,Spring,New,Retail Stores,2026,471,25355.32,563,315
ST-0051,Autumn Gingham Short,Autumn Gingham,Boys,Bottoms,Boys Bottoms,Short,Fall,New,Retail Stores,2025,655,25352.52,1003,660
ST-0098,Garden Trellis Pant,Garden Trellis,Women,Bottoms,Women Bottoms,Pant,Spring,New,Retail Stores,2026,392,25290.2,505,262
ST-0066,Seashell Bubble,Seashell,Baby,Rompers,Baby Rompers,Bubble,Summer,New,Retail Stores,2025,568,25278.35,933,414
ST-0065,Tulip Garden Bubble,Tulip Garden,Baby,Rompers,Baby Rompers,Bubble,Spring,New,Retail Stores,2026,514,25211.99,873,115
ST-0095,Tulip Garden Short,Tulip Garden,Women,Bottoms,Women Bottoms,Short,Spring,New,Retail Stores,2026,376,25202.69,628,401
ST-0053,Strawberry Fields Pant,Strawberry Fields,Boys,Bottoms,Boys Bottoms,Pant,Summer,New,Wholesale,2026,795,25179.88,1038,572
ST-0065,Tulip Garden Bubble,Tulip Garden,Baby,Rompers,Baby Rompers,Bubble,Spring,New,Wholesale,2026,671,25117.41,1314,819
ST-0042,Lemon Grove Tee,Lemon Grove,Boys,Tops,Boys Tops,Tee,Summer,New,Retail Stores,2026,472,25115.61,706,55
ST-0032,Pomegranate PJ Set,Pomegranate,Girls,Sleepwear,Girls Sleepwear,PJ Set,Fall,New,Wholesale,2026,670,25079.98,698,164
ST-0045,Hydrangea Polo,Hydrangea,Boys,Tops,Boys Tops,Polo,Spring,New,Retail Stores,2025,468,25061.95,938,566
ST-0013,Hydrangea Cardigan,Hydrangea,Girls,Tops,Girls Tops,Cardigan,Spring,New,Retail Stores,2025,533,24964.84,841,476
ST-0096,Pomegranate Short,Pomegranate,Women,Bottoms,Women Bottoms,Short,Fall,New,Retail Stores,2025,377,24960.8,808,506
ST-0018,Acorn Toile Short,Acorn Toile,Girls,Bottoms,Girls Bottoms,Short,Fall,New,Wholesale,2025,665,24892.81,963,128
ST-0096,Pomegranate Short,Pomegranate,Women,Bottoms,Women Bottoms,Short,Fall,New,Wholesale,2025,480,24879.74,666,507
ST-0042,Lemon Grove Tee,Lemon Grove,Boys,Tops,Boys Tops,Tee,Summer,New,Wholesale,2026,594,24801.17,1106,93
ST-0040,Candy Cane Stripe Button-Down,Candy Cane Stripe,Boys,Tops,Boys Tops,Button-Down,Holiday,New,Retail Stores,2025,492,24790.19,510,179
ST-0029,Hydrangea Rash Guard Set,Hydrangea,Girls,Swim,Girls Swim,Rash Guard Set,Spring,New,Wholesale,2025,572,24706.28,831,372
ST-0042,Lemon Grove Tee,Lemon Grove,Boys,Tops,Boys Tops,Tee,Summer,New,Retail Stores,2025,447,24604.06,850,247
ST-0073,Seashell Footie,Seashell,Baby,Sleepwear,Baby Sleepwear,Footie,Summer,New,Wholesale,2026,812,24549.03,673,188
ST-0047,Wildflower Polo,Wildflower,Boys,Tops,Boys Tops,Polo,Fall,Carryover,Retail Stores,2026,529,24493.87,929,467
ST-0050,Palm Frond Short,Palm Frond,Boys,Bottoms,Boys Bottoms,Short,Summer,New,Wholesale,2026,654,24481.06,1270,447
ST-0016,Cherry Blossom Short,Cherry Blossom,Girls,Bottoms,Girls Bottoms,Short,Spring,Carryover,Wholesale,2026,628,24412.12,1270,991
ST-0079,Seashell Bonnet,Seashell,Baby,Accessories,Baby Accessories,Bonnet,Summer,Carryover,Ecommerce,2026,955,24299.58,2072,455
ST-0101,Winter Fair Isle PJ Set,Winter Fair Isle,Women,Sleepwear,Women Sleepwear,PJ Set,Holiday,Carryover,Wholesale,2026,411,24262.48,695,394
ST-0011,Lemon Grove Tee,Lemon Grove,Girls,Tops,Girls Tops,Tee,Summer,New,Wholesale,2026,647,24219.02,531,271
ST-0010,Holiday Holly Blouse,Holiday Holly,Girls,Tops,Girls Tops,Blouse,Holiday,New,Wholesale,2025,646,24181.59,822,279
ST-0018,Acorn Toile Short,Acorn Toile,Girls,Bottoms,Girls Bottoms,Short,Fall,New,Retail Stores,2025,500,24129.1,855,419
ST-0049,Cherry Blossom Short,Cherry Blossom,Boys,Bottoms,Boys Bottoms,Short,Spring,Carryover,Wholesale,2026,761,24103,1177,739
ST-0012,Wildflower Tee,Wildflower,Girls,Tops,Girls Tops,Tee,Fall,New,Retail Stores,2026,508,24100.78,965,492
ST-0041,Hydrangea Tee,Hydrangea,Boys,Tops,Boys Tops,Tee,Spring,New,Retail Stores,2026,432,24046.01,885,656
ST-0021,Seashell Skirt,Seashell,Girls,Bottoms,Girls Bottoms,Skirt,Summer,New,Wholesale,2026,725,24006.79,1551,714
ST-0049,Cherry Blossom Short,Cherry Blossom,Boys,Bottoms,Boys Bottoms,Short,Spring,Carryover,Retail Stores,2026,623,23993.82,715,367
ST-0094,Snowdrop Tunic,Snowdrop,Women,Tops,Women Tops,Tunic,Holiday,New,Wholesale,2025,396,23947.22,678,199
ST-0098,Garden Trellis Pant,Garden Trellis,Women,Bottoms,Women Bottoms,Pant,Spring,New,Wholesale,2026,475,23936.58,643,301
ST-0072,Strawberry Fields Two-Piece Set,Strawberry Fields,Baby,Sets,Baby Sets,Two-Piece Set,Summer,New,Retail Stores,2025,505,23906.05,730,271
ST-0022,Cherry Blossom Two-Piece Set,Cherry Blossom,Girls,Sets,Girls Sets,Two-Piece Set,Spring,New,Retail Stores,2025,335,23891.41,611,307
ST-0012,Wildflower Tee,Wildflower,Girls,Tops,Girls Tops,Tee,Fall,New,Wholesale,2025,636,23807.27,927,257
ST-0027,Candy Cane Stripe Romper,Candy Cane Stripe,Girls,Sets,Girls Sets,Romper,Holiday,New,Retail Stores,2025,404,23781.7,432,263
ST-0064,Wildflower PJ Set,Wildflower,Boys,Sleepwear,Boys Sleepwear,PJ Set,Fall,New,Retail Stores,2025,471,23690.34,850,291
ST-0063,Strawberry Fields PJ Set,Strawberry Fields,Boys,Sleepwear,Boys Sleepwear,PJ Set,Summer,New,Retail Stores,2026,458,23640.99,597,312
ST-0027,Candy Cane Stripe Romper,Candy Cane Stripe,Girls,Sets,Girls Sets,Romper,Holiday,New,Wholesale,2026,511,23543.2,689,507
ST-0100,Acorn Toile PJ Set,Acorn Toile,Women,Sleepwear,Women Sleepwear,PJ Set,Fall,New,Ecommerce,2025,279,23491.55,383,295
ST-0017,Seashell Short,Seashell,Girls,Bottoms,Girls Bottoms,Short,Summer,New,Retail Stores,2026,580,23489.82,918,344
ST-0048,Candy Cane Stripe Polo,Candy Cane Stripe,Boys,Tops,Boys Tops,Polo,Holiday,New,Retail Stores,2025,455,23253.93,875,517
ST-0033,Snowdrop PJ Set,Snowdrop,Girls,Sleepwear,Girls Sleepwear,PJ Set,Holiday,New,Wholesale,2025,598,23245.93,943,224
ST-0071,Tulip Garden Two-Piece Set,Tulip Garden,Baby,Sets,Baby Sets,Two-Piece Set,Spring,New,Retail Stores,2025,388,23189.84,740,364
ST-0074,Pomegranate Footie,Pomegranate,Baby,Sleepwear,Baby Sleepwear,Footie,Fall,New,Wholesale,2025,767,23188.56,1532,975
ST-0034,Cherry Blossom Nightgown,Cherry Blossom,Girls,Sleepwear,Girls Sleepwear,Nightgown,Spring,New,Ecommerce,2025,433,23166.39,816,366
ST-0052,Garden Trellis Pant,Garden Trellis,Boys,Bottoms,Boys Bottoms,Pant,Spring,New,Wholesale,2025,642,23107.37,1120,368
ST-0068,Strawberry Fields Coverall,Strawberry Fields,Baby,Rompers,Baby Rompers,Coverall,Summer,New,Retail Stores,2025,458,22902.13,940,356
ST-0057,Wildflower Two-Piece Set,Wildflower,Boys,Sets,Boys Sets,Two-Piece Set,Fall,New,Retail Stores,2025,379,22779.47,632,391
ST-0017,Seashell Short,Seashell,Girls,Bottoms,Girls Bottoms,Short,Summer,New,Wholesale,2026,715,22646.05,822,110
ST-0101,Winter Fair Isle PJ Set,Winter Fair Isle,Women,Sleepwear,Women Sleepwear,PJ Set,Holiday,Carryover,Ecommerce,2025,294,22642.45,398,123
ST-0036,Autumn Gingham Nightgown,Autumn Gingham,Girls,Sleepwear,Girls Sleepwear,Nightgown,Fall,New,Wholesale,2026,683,22616.05,1033,317
ST-0082,Hydrangea Bib Set,Hydrangea,Baby,Accessories,Baby Accessories,Bib Set,Spring,New,Ecommerce,2025,938,22550.37,1148,209
ST-0048,Candy Cane Stripe Polo,Candy Cane Stripe,Boys,Tops,Boys Tops,Polo,Holiday,New,Wholesale,2025,559,22534.85,802,479
ST-0020,Acorn Toile Legging,Acorn Toile,Girls,Bottoms,Girls Bottoms,Legging,Fall,New,Wholesale,2025,626,22531.5,977,534
ST-0025,Hydrangea Romper,Hydrangea,Girls,Sets,Girls Sets,Romper,Spring,New,Wholesale,2025,504,22494.93,655,479
ST-0022,Cherry Blossom Two-Piece Set,Cherry Blossom,Girls,Sets,Girls Sets,Two-Piece Set,Spring,New,Retail Stores,2026,322,22438.39,560,145
ST-0062,Seashell Rash Guard Set,Seashell,Boys,Swim,Boys Swim,Rash Guard Set,Summer,New,Retail Stores,2026,465,22388.79,625,312
ST-0057,Wildflower Two-Piece Set,Wildflower,Boys,Sets,Boys Sets,Two-Piece Set,Fall,New,Wholesale,2026,501,22361.03,737,133
ST-0081,Holiday Holly Bonnet,Holiday Holly,Baby,Accessories,Baby Accessories,Bonnet,Holiday,New,Ecommerce,2026,890,22359.21,1337,285
ST-0043,Pomegranate Tee,Pomegranate,Boys,Tops,Boys Tops,Tee,Fall,New,Retail Stores,2025,472,22335.72,860,530
ST-0047,Wildflower Polo,Wildflower,Boys,Tops,Boys Tops,Polo,Fall,Carryover,Wholesale,2026,594,22235.08,722,432
ST-0049,Cherry Blossom Short,Cherry Blossom,Boys,Bottoms,Boys Bottoms,Short,Spring,Carryover,Retail Stores,2025,530,22205.18,806,330
ST-0080,Pomegranate Bonnet,Pomegranate,Baby,Accessories,Baby Accessories,Bonnet,Fall,Carryover,Wholesale,2025,1100,22168.08,1410,930
ST-0013,Hydrangea Cardigan,Hydrangea,Girls,Tops,Girls Tops,Cardigan,Spring,New,Wholesale,2025,615,22135.58,1087,682
ST-0042,Lemon Grove Tee,Lemon Grove,Boys,Tops,Boys Tops,Tee,Summer,New,Wholesale,2025,529,22087.24,1164,822
ST-0015,Winter Fair Isle Cardigan,Winter Fair Isle,Girls,Tops,Girls Tops,Cardigan,Holiday,Carryover,Retail Stores,2025,445,22081.88,640,310
ST-0065,Tulip Garden Bubble,Tulip Garden,Baby,Rompers,Baby Rompers,Bubble,Spring,New,Retail Stores,2025,449,22062.2,703,265
ST-0047,Wildflower Polo,Wildflower,Boys,Tops,Boys Tops,Polo,Fall,Carryover,Wholesale,2025,588,22010.49,842,647
ST-0044,Snowdrop Tee,Snowdrop,Boys,Tops,Boys Tops,Tee,Holiday,New,Retail Stores,2026,473,22008.59,568,337
ST-0060,Nantucket Stripe Swim Trunk,Nantucket Stripe,Boys,Swim,Boys Swim,Swim Trunk,Summer,Carryover,Retail Stores,2025,358,21947.8,517,247
ST-0075,Tulip Garden PJ Set,Tulip Garden,Baby,Sleepwear,Baby Sleepwear,PJ Set,Spring,New,Retail Stores,2025,485,21880.39,812,524
ST-0030,Nantucket Stripe Rash Guard Set,Nantucket Stripe,Girls,Swim,Girls Swim,Rash Guard Set,Summer,New,Retail Stores,2026,450,21877.6,936,498
ST-0077,Pomegranate PJ Set,Pomegranate,Baby,Sleepwear,Baby Sleepwear,PJ Set,Fall,New,Retail Stores,2025,500,21782.43,558,394
ST-0024,Winter Fair Isle Two-Piece Set,Winter Fair Isle,Girls,Sets,Girls Sets,Two-Piece Set,Holiday,Carryover,Retail Stores,2026,295,21761.58,352,246
ST-0033,Snowdrop PJ Set,Snowdrop,Girls,Sleepwear,Girls Sleepwear,PJ Set,Holiday,New,Retail Stores,2025,420,21646.46,549,252
ST-0078,Tulip Garden Bonnet,Tulip Garden,Baby,Accessories,Baby Accessories,Bonnet,Spring,New,Wholesale,2025,997,21528.02,1288,552
ST-0072,Strawberry Fields Two-Piece Set,Strawberry Fields,Baby,Sets,Baby Sets,Two-Piece Set,Summer,New,Retail Stores,2026,451,21399.51,632,374
ST-0080,Pomegranate Bonnet,Pomegranate,Baby,Accessories,Baby Accessories,Bonnet,Fall,Carryover,Ecommerce,2025,796,21052.67,1403,746
ST-0049,Cherry Blossom Short,Cherry Blossom,Boys,Bottoms,Boys Bottoms,Short,Spring,Carryover,Ecommerce,2025,529,21008.53,763,252
ST-0045,Hydrangea Polo,Hydrangea,Boys,Tops,Boys Tops,Polo,Spring,New,Ecommerce,2025,392,20998.21,504,266
ST-0072,Strawberry Fields Two-Piece Set,Strawberry Fields,Baby,Sets,Baby Sets,Two-Piece Set,Summer,New,Wholesale,2026,583,20983.81,711,498
ST-0061,Garden Trellis Rash Guard Set,Garden Trellis,Boys,Swim,Boys Swim,Rash Guard Set,Spring,New,Wholesale,2025,485,20948.51,985,728
ST-0012,Wildflower Tee,Wildflower,Girls,Tops,Girls Tops,Tee,Fall,New,Wholesale,2026,555,20775.21,754,149
ST-0083,Snowdrop Bib Set,Snowdrop,Baby,Accessories,Baby Accessories,Bib Set,Holiday,Carryover,Ecommerce,2025,974,20702.34,1646,911
ST-0060,Nantucket Stripe Swim Trunk,Nantucket Stripe,Boys,Swim,Boys Swim,Swim Trunk,Summer,Carryover,Ecommerce,2025,361,20654.41,626,350
ST-0074,Pomegranate Footie,Pomegranate,Baby,Sleepwear,Baby Sleepwear,Footie,Fall,New,Retail Stores,2025,533,20465.33,763,350
ST-0050,Palm Frond Short,Palm Frond,Boys,Bottoms,Boys Bottoms,Short,Summer,New,Wholesale,2025,546,20438.31,896,502
ST-0052,Garden Trellis Pant,Garden Trellis,Boys,Bottoms,Boys Bottoms,Pant,Spring,New,Retail Stores,2025,411,20080.4,428,176
ST-0011,Lemon Grove Tee,Lemon Grove,Girls,Tops,Girls Tops,Tee,Summer,New,Wholesale,2025,535,20026.55,727,452
ST-0019,Garden Trellis Legging,Garden Trellis,Girls,Bottoms,Girls Bottoms,Legging,Spring,New,Retail Stores,2026,484,19988.67,612,330
ST-0076,Lemon Grove PJ Set,Lemon Grove,Baby,Sleepwear,Baby Sleepwear,PJ Set,Summer,Carryover,Retail Stores,2025,503,19928.98,1026,400
ST-0013,Hydrangea Cardigan,Hydrangea,Girls,Tops,Girls Tops,Cardigan,Spring,New,Wholesale,2026,553,19904.02,825,126
ST-0083,Snowdrop Bib Set,Snowdrop,Baby,Accessories,Baby Accessories,Bib Set,Holiday,Carryover,Wholesale,2026,1148,19829.18,1594,799
ST-0029,Hydrangea Rash Guard Set,Hydrangea,Girls,Swim,Girls Swim,Rash Guard Set,Spring,New,Retail Stores,2026,367,19778.59,800,426
ST-0077,Pomegranate PJ Set,Pomegranate,Baby,Sleepwear,Baby Sleepwear,PJ Set,Fall,New,Retail Stores,2026,467,19705.74,671,422
ST-0081,Holiday Holly Bonnet,Holiday Holly,Baby,Accessories,Baby Accessories,Bonnet,Holiday,New,Wholesale,2026,970,19548.21,1919,1263
ST-0008,Seashell Blouse,Seashell,Girls,Tops,Girls Tops,Blouse,Summer,New,Retail Stores,2025,334,19535.83,414,148
ST-0070,Winter Fair Isle Coverall,Winter Fair Isle,Baby,Rompers,Baby Rompers,Coverall,Holiday,New,Wholesale,2025,565,19522.34,766,374
ST-0014,Acorn Toile Cardigan,Acorn Toile,Girls,Tops,Girls Tops,Cardigan,Fall,New,Retail Stores,2025,334,19442.92,419,215
ST-0066,Seashell Bubble,Seashell,Baby,Rompers,Baby Rompers,Bubble,Summer,New,Retail Stores,2026,458,19416.52,843,94
ST-0048,Candy Cane Stripe Polo,Candy Cane Stripe,Boys,Tops,Boys Tops,Polo,Holiday,New,Retail Stores,2026,375,19382.15,834,587
ST-0020,Acorn Toile Legging,Acorn Toile,Girls,Bottoms,Girls Bottoms,Legging,Fall,New,Retail Stores,2026,413,18928.62,610,187
ST-0073,Seashell Footie,Seashell,Baby,Sleepwear,Baby Sleepwear,Footie,Summer,New,Wholesale,2025,625,18895.49,1188,449
ST-0054,Acorn Toile Pant,Acorn Toile,Boys,Bottoms,Boys Bottoms,Pant,Fall,New,Wholesale,2025,499,18678.97,960,229
ST-0016,Cherry Blossom Short,Cherry Blossom,Girls,Bottoms,Girls Bottoms,Short,Spring,Carryover,Retail Stores,2025,368,18350.29,615,93
ST-0099,Strawberry Fields PJ Set,Strawberry Fields,Women,Sleepwear,Women Sleepwear,PJ Set,Summer,New,Wholesale,2025,330,18055.22,533,289
ST-0005,Palm Frond Maxi Dress,Palm Frond,Girls,Dresses,Girls Dresses,Maxi Dress,Summer,New,Wholesale,2026,272,18015.32,423,235
ST-0043,Pomegranate Tee,Pomegranate,Boys,Tops,Boys Tops,Tee,Fall,New,Retail Stores,2026,375,17908.97,568,260
ST-0064,Wildflower PJ Set,Wildflower,Boys,Sleepwear,Boys Sleepwear,PJ Set,Fall,New,Retail Stores,2026,362,17881.53,699,240
